fecha_ingreso,anio,mes,estado,proveedor_top,nombre_comercial,tipo_servicio,problema_clasificado,motivo_reclamacion,estado_procesal,resuelta,monto_reclamado,monto_recuperado,porcentaje_recuperado,dias_resolucion
2022-01-03,2022,1,Aguascalientes,IZZI,IZZI,TV,Facturación y Pagos,NO RESPETO ACUERDO PREVIO,CONCILIADA,True,0.0,0.0,0.0,17.0
2022-01-03,2022,1,Aguascalientes,TELMEX,TELMEX,Telefonía Fija,"Entrega, Cambios y Garantías",PRODUCTO O SERVICIO EQUIVOCADO,CONCILIADA,True,0.0,0.0,0.0,31.0
2022-01-03,2022,1,Aguascalientes,OTROS,SKY,TV,Contratos y Condiciones,NEGATIVA A LA RESCISION,CONCILIADA,True,0.0,0.0,0.0,37.0
2022-01-05,2022,1,Aguascalientes,OTROS,SKY,Internet,"Entrega, Cambios y Garantías",NEGATIVA A LA DEVOLUCION DE DEPOSITO,CONCILIADA,True,899.0,1798.0,2.0,71.0
2022-01-20,2022,1,Aguascalientes,OTROS,ZTE,Telefonía Móvil,"Entrega, Cambios y Garantías",NEGATIVA A HACERLA EFECTIVA,CONCILIADA,True,0.0,0.0,0.0,75.0
2022-01-20,2022,1,Aguascalientes,TELCEL,TELCEL,Telefonía Móvil,"Entrega, Cambios y Garantías",NEGATIVA A HACERLA EFECTIVA,CONCILIADA,True,0.0,0.0,0.0,75.0
2022-01-21,2022,1,Aguascalientes,OTROS,SAMSUNG,Telefonía Móvil,"Entrega, Cambios y Garantías",NEGATIVA A HACERLA EFECTIVA,DESISTIMIENTO,False,0.0,0.0,0.0,96.0
2022-01-21,2022,1,Aguascalientes,TELCEL,TELCEL,Telefonía Móvil,"Entrega, Cambios y Garantías",NEGATIVA A HACERLA EFECTIVA,DESISTIMIENTO,False,0.0,0.0,0.0,96.0
2022-01-24,2022,1,Aguascalientes,AT&T,AT&T,Telefonía Móvil,"Entrega, Cambios y Garantías",NEGATIVA A LA ENTREGA,DESISTIMIENTO,False,0.0,0.0,0.0,94.0
2022-01-27,2022,1,Aguascalientes,TELCEL,TELCEL,Telefonía Móvil,"Entrega, Cambios y Garantías",NEGATIVA A LA ENTREGA,CONCILIADA,True,0.0,747.69,0.0,99.0
2022-01-28,2022,1,Aguascalientes,TELMEX,TELMEX,Telefonía Fija,Facturación y Pagos,PRODUCTO O SERVICIO NO SOLICITADO O AUTORIZADO,CONCILIADA,True,0.0,0.0,0.0,75.0
2022-01-12,2022,1,Baja California,TELMEX,TELMEX,Telefonía Fija,Contratos y Condiciones,NEGATIVA A LA RESCISION,CONCILIADA,True,0.0,0.0,0.0,12.0
2022-01-25,2022,1,Baja California,TELCEL,TELCEL,Telefonía Móvil,Contratos y Condiciones,NEGATIVA A LA RESCISION,CONCILIADA,True,0.0,0.0,0.0,16.0
2022-01-26,2022,1,Baja California Sur,TELMEX,TELMEX,Telefonía Fija,Facturación y Pagos,CUOTA EXTRAORDINARIA,CONCILIADA,True,264.0,264.0,1.0,142.0
2022-01-26,2022,1,Baja California Sur,OTROS,DISH,TV,Facturación y Pagos,CUOTA EXTRAORDINARIA,CONCILIADA,True,264.0,264.0,1.0,142.0
2022-01-10,2022,1,Campeche,TELMEX,TELMEX,Telefonía Fija,Facturación y Pagos,NEGATIVA A CORREGIR ERRORES,DESISTIMIENTO,False,0.0,0.0,0.0,101.0
